epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,6669.37,1.48746,1.1143,1.31189,0.21838,0.09285,0.07814,0.03118,2.90715,5.03243,2.2876,0.0003598,0.0003598,0.0003598
99,6737.19,1.4948,1.07151,1.32851,0.22987,0.08553,0.074,0.03024,2.86091,5.27684,2.25247,0.0003532,0.0003532,0.0003532
100,6804.9,1.45307,1.0678,1.31283,0.22605,0.08989,0.06316,0.03094,2.82662,5.17796,2.21535,0.0003466,0.0003466,0.0003466
101,6872.53,1.43723,1.08912,1.29716,0.22042,0.09454,0.06354,0.0266,2.86697,5.23853,2.27446,0.00034,0.00034,0.00034
102,6940.21,1.47238,1.10513,1.31229,0.29726,0.06108,0.0574,0.03025,2.74945,5.39634,2.17026,0.0003334,0.0003334,0.0003334
103,7007.63,1.44993,1.04858,1.28013,0.21269,0.06915,0.06085,0.02502,2.95121,5.38083,2.35499,0.0003268,0.0003268,0.0003268
104,7074.93,1.51596,1.10444,1.29846,0.18956,0.06646,0.05943,0.02673,2.80545,5.48732,2.22414,0.0003202,0.0003202,0.0003202
105,7142.52,1.47736,1.07157,1.30458,0.22835,0.08941,0.05351,0.02335,2.86609,5.46139,2.27174,0.0003136,0.0003136,0.0003136
106,7210.03,1.43431,1.05299,1.2956,0.27748,0.10285,0.06576,0.02397,2.88163,5.5287,2.28573,0.000307,0.000307,0.000307
107,7277.62,1.48274,1.03515,1.2984,0.25044,0.0926,0.07029,0.02332,2.90384,5.09409,2.31273,0.0003004,0.0003004,0.0003004
108,7345.31,1.42877,1.02928,1.28131,0.25863,0.09235,0.06211,0.02037,2.82343,5.07459,2.21472,0.0002938,0.0002938,0.0002938
109,7412.85,1.40459,1.02501,1.26709,0.21464,0.09282,0.07151,0.02178,2.86444,5.18946,2.30354,0.0002872,0.0002872,0.0002872
110,7480.34,1.38498,1.0233,1.26365,0.23276,0.10554,0.07364,0.01825,2.73767,4.90358,2.22901,0.0002806,0.0002806,0.0002806
111,7548.27,1.40255,1.00968,1.25875,0.30529,0.10041,0.07843,0.02662,2.70574,4.87306,2.18749,0.000274,0.000274,0.000274
112,7615.97,1.38592,0.98219,1.27127,0.30392,0.09773,0.08441,0.02881,2.62518,4.78879,2.12168,0.0002674,0.0002674,0.0002674
113,7683.33,1.40114,0.999,1.2656,0.31763,0.10291,0.08273,0.03278,2.74113,4.89431,2.21024,0.0002608,0.0002608,0.0002608
114,7750.85,1.36776,0.98348,1.24743,0.29063,0.1115,0.10074,0.03316,2.86193,4.78529,2.34352,0.0002542,0.0002542,0.0002542
115,7818.49,1.39383,0.96578,1.25404,0.26573,0.09797,0.08499,0.02991,2.89051,4.81421,2.38895,0.0002476,0.0002476,0.0002476
116,7885.99,1.35473,0.94177,1.23286,0.25017,0.10897,0.09236,0.02831,2.83684,4.81122,2.34729,0.000241,0.000241,0.000241
